entity_id,entity_type,week_offset,week_label,kind,qty,qty_lower,qty_upper
EVSED-E,product,-21,W-21,actual,329,329,329
EVSED-E,product,-20,W-20,actual,324,324,324
EVSED-E,product,-19,W-19,actual,324,324,324
EVSED-E,product,-18,W-18,actual,343,343,343
EVSED-E,product,-17,W-17,actual,324,324,324
EVSED-E,product,-16,W-16,actual,334,334,334
EVSED-E,product,-15,W-15,actual,343,343,343
EVSED-E,product,-14,W-14,actual,329,329,329
EVSED-E,product,-13,W-13,actual,336,336,336
EVSED-E,product,-12,W-12,actual,341,341,341
EVSED-E,product,-11,W-11,actual,341,341,341
EVSED-E,product,-10,W-10,actual,331,331,331
EVSED-E,product,-9,W-9,actual,348,348,348
EVSED-E,product,-8,W-8,actual,364,364,364
EVSED-E,product,-7,W-7,actual,336,336,336
EVSED-E,product,-6,W-6,actual,364,364,364
EVSED-E,product,-5,W-5,actual,362,362,362
EVSED-E,product,-4,W-4,actual,357,357,357
EVSED-E,product,-3,W-3,actual,390,390,390
EVSED-E,product,-2,W-2,actual,383,383,383
EVSED-E,product,-1,W-1,actual,364,364,364
EVSED-E,product,0,W+0,forecast,383,357,408
EVSED-E,product,1,W+1,forecast,387,357,418
EVSED-E,product,2,W+2,forecast,392,359,425
EVSED-E,product,3,W+3,forecast,397,362,432
EVSED-E,product,4,W+4,forecast,401,364,439
EVSED-E,product,5,W+5,forecast,406,366,446
EVSED-E,product,6,W+6,forecast,411,366,455
EVSED-E,product,7,W+7,forecast,415,369,462
EVSED-E,product,8,W+8,forecast,418,369,467
EVSED-E,product,9,W+9,forecast,422,369,474
EVSED-E,product,10,W+10,forecast,425,369,481
EVSED-E,product,11,W+11,forecast,427,369,485
ICESED,product,-26,W-26,actual,425,425,425
ICESED,product,-25,W-25,actual,427,427,427
ICESED,product,-24,W-24,actual,413,413,413
ICESED,product,-23,W-23,actual,420,420,420
ICESED,product,-22,W-22,actual,408,408,408
ICESED,product,-21,W-21,actual,413,413,413
ICESED,product,-20,W-20,actual,420,420,420
ICESED,product,-19,W-19,actual,392,392,392
ICESED,product,-18,W-18,actual,399,399,399
ICESED,product,-17,W-17,actual,390,390,390
ICESED,product,-16,W-16,actual,394,394,394
ICESED,product,-15,W-15,actual,378,378,378
ICESED,product,-14,W-14,actual,383,383,383
ICESED,product,-13,W-13,actual,387,387,387
ICESED,product,-12,W-12,actual,399,399,399
ICESED,product,-11,W-11,actual,404,404,404
ICESED,product,-10,W-10,actual,373,373,373
ICESED,product,-9,W-9,actual,380,380,380
ICESED,product,-8,W-8,actual,399,399,399
ICESED,product,-7,W-7,actual,369,369,369
ICESED,product,-6,W-6,actual,390,390,390
ICESED,product,-5,W-5,actual,397,397,397
ICESED,product,-4,W-4,actual,413,413,413
ICESED,product,-3,W-3,actual,411,411,411
ICESED,product,-2,W-2,actual,399,399,399
ICESED,product,-1,W-1,actual,401,401,401
ICESED,product,0,W+0,forecast,408,380,439
ICESED,product,1,W+1,forecast,413,380,443
ICESED,product,2,W+2,forecast,415,380,448
ICESED,product,3,W+3,forecast,418,380,453
ICESED,product,4,W+4,forecast,420,380,460
ICESED,product,5,W+5,forecast,422,380,464
ICESED,product,6,W+6,forecast,422,378,469
ICESED,product,7,W+7,forecast,425,378,474
ICESED,product,8,W+8,forecast,427,376,476
ICESED,product,9,W+9,forecast,427,373,481
ICESED,product,10,W+10,forecast,427,373,483
ICESED,product,11,W+11,forecast,429,371,488
EVSUV,product,-26,W-26,actual,168,168,168
EVSUV,product,-25,W-25,actual,177,177,177
EVSUV,product,-24,W-24,actual,166,166,166
EVSUV,product,-23,W-23,actual,168,168,168
EVSUV,product,-22,W-22,actual,170,170,170
EVSUV,product,-21,W-21,actual,168,168,168
EVSUV,product,-20,W-20,actual,168,168,168
EVSUV,product,-19,W-19,actual,163,163,163
EVSUV,product,-18,W-18,actual,168,168,168
EVSUV,product,-17,W-17,actual,166,166,166
EVSUV,product,-16,W-16,actual,175,175,175
EVSUV,product,-15,W-15,actual,173,173,173
EVSUV,product,-14,W-14,actual,170,170,170
EVSUV,product,-13,W-13,actual,175,175,175
EVSUV,product,-12,W-12,actual,170,170,170
EVSUV,product,-11,W-11,actual,177,177,177
EVSUV,product,-10,W-10,actual,175,175,175
EVSUV,product,-9,W-9,actual,180,180,180
EVSUV,product,-8,W-8,actual,170,170,170
EVSUV,product,-7,W-7,actual,182,182,182
EVSUV,product,-6,W-6,actual,173,173,173
EVSUV,product,-5,W-5,actual,173,173,173
EVSUV,product,-4,W-4,actual,184,184,184
EVSUV,product,-3,W-3,actual,184,184,184
EVSUV,product,-2,W-2,actual,191,191,191
EVSUV,product,-1,W-1,actual,208,208,208
EVSUV,product,0,W+0,forecast,196,182,210
EVSUV,product,1,W+1,forecast,198,184,215
EVSUV,product,2,W+2,forecast,201,184,217
EVSUV,product,3,W+3,forecast,203,187,222
EVSUV,product,4,W+4,forecast,208,187,226
EVSUV,product,5,W+5,forecast,210,189,231
EVSUV,product,6,W+6,forecast,212,189,233
EVSUV,product,7,W+7,forecast,215,189,238
EVSUV,product,8,W+8,forecast,217,191,243
EVSUV,product,9,W+9,forecast,219,191,245
EVSUV,product,10,W+10,forecast,219,191,250
EVSUV,product,11,W+11,forecast,222,191,252
ICEMPV,product,-26,W-26,actual,138,138,138
ICEMPV,product,-25,W-25,actual,138,138,138
ICEMPV,product,-24,W-24,actual,140,140,140
ICEMPV,product,-23,W-23,actual,140,140,140
ICEMPV,product,-22,W-22,actual,135,135,135
ICEMPV,product,-21,W-21,actual,135,135,135
ICEMPV,product,-20,W-20,actual,138,138,138
ICEMPV,product,-19,W-19,actual,135,135,135
ICEMPV,product,-18,W-18,actual,128,128,128
ICEMPV,product,-17,W-17,actual,133,133,133
ICEMPV,product,-16,W-16,actual,133,133,133
ICEMPV,product,-15,W-15,actual,128,128,128
ICEMPV,product,-14,W-14,actual,133,133,133
ICEMPV,product,-13,W-13,actual,128,128,128
ICEMPV,product,-12,W-12,actual,135,135,135
ICEMPV,product,-11,W-11,actual,133,133,133
ICEMPV,product,-10,W-10,actual,133,133,133
ICEMPV,product,-9,W-9,actual,131,131,131
ICEMPV,product,-8,W-8,actual,133,133,133
ICEMPV,product,-7,W-7,actual,126,126,126
ICEMPV,product,-6,W-6,actual,131,131,131
ICEMPV,product,-5,W-5,actual,138,138,138
ICEMPV,product,-4,W-4,actual,128,128,128
ICEMPV,product,-3,W-3,actual,140,140,140
ICEMPV,product,-2,W-2,actual,131,131,131
ICEMPV,product,-1,W-1,actual,142,142,142
ICEMPV,product,0,W+0,forecast,140,131,149
ICEMPV,product,1,W+1,forecast,140,131,152
ICEMPV,product,2,W+2,forecast,142,131,154
ICEMPV,product,3,W+3,forecast,142,131,156
ICEMPV,product,4,W+4,forecast,145,131,159
ICEMPV,product,5,W+5,forecast,145,131,159
ICEMPV,product,6,W+6,forecast,145,131,161
ICEMPV,product,7,W+7,forecast,147,131,163
ICEMPV,product,8,W+8,forecast,147,131,163
ICEMPV,product,9,W+9,forecast,147,128,166
ICEMPV,product,10,W+10,forecast,147,128,168
ICEMPV,product,11,W+11,forecast,147,128,168
MTR-221,part,-26,W-26,actual,707,707,707
MTR-221,part,-25,W-25,actual,735,735,735
MTR-221,part,-24,W-24,actual,723,723,723
MTR-221,part,-23,W-23,actual,721,721,721
MTR-221,part,-22,W-22,actual,709,709,709
MTR-221,part,-21,W-21,actual,712,712,712
MTR-221,part,-20,W-20,actual,712,712,712
MTR-221,part,-19,W-19,actual,716,716,716
MTR-221,part,-18,W-18,actual,728,728,728
MTR-221,part,-17,W-17,actual,707,707,707
MTR-221,part,-16,W-16,actual,733,733,733
MTR-221,part,-15,W-15,actual,740,740,740
MTR-221,part,-14,W-14,actual,721,721,721
MTR-221,part,-13,W-13,actual,726,726,726
MTR-221,part,-12,W-12,actual,733,733,733
MTR-221,part,-11,W-11,actual,749,749,749
MTR-221,part,-10,W-10,actual,721,721,721
MTR-221,part,-9,W-9,actual,749,749,749
MTR-221,part,-8,W-8,actual,749,749,749
MTR-221,part,-7,W-7,actual,740,740,740
MTR-221,part,-6,W-6,actual,758,758,758
MTR-221,part,-5,W-5,actual,768,768,768
MTR-221,part,-4,W-4,actual,770,770,770
MTR-221,part,-3,W-3,actual,817,817,817
MTR-221,part,-2,W-2,actual,817,817,817
MTR-221,part,-1,W-1,actual,814,814,814
MTR-221,part,0,W+0,forecast,826,770,884
MTR-221,part,1,W+1,forecast,838,775,901
MTR-221,part,2,W+2,forecast,847,779,917
MTR-221,part,3,W+3,forecast,859,782,933
MTR-221,part,4,W+4,forecast,868,786,950
MTR-221,part,5,W+5,forecast,877,791,966
MTR-221,part,6,W+6,forecast,887,793,980
MTR-221,part,7,W+7,forecast,896,796,996
MTR-221,part,8,W+8,forecast,903,798,1010
MTR-221,part,9,W+9,forecast,912,798,1024
MTR-221,part,10,W+10,forecast,919,798,1038
MTR-221,part,11,W+11,forecast,924,798,1050
ROT-118,part,-26,W-26,actual,707,707,707
ROT-118,part,-25,W-25,actual,735,735,735
ROT-118,part,-24,W-24,actual,723,723,723
ROT-118,part,-23,W-23,actual,721,721,721
ROT-118,part,-22,W-22,actual,709,709,709
ROT-118,part,-21,W-21,actual,712,712,712
ROT-118,part,-20,W-20,actual,712,712,712
ROT-118,part,-19,W-19,actual,716,716,716
ROT-118,part,-18,W-18,actual,728,728,728
ROT-118,part,-17,W-17,actual,707,707,707
ROT-118,part,-16,W-16,actual,733,733,733
ROT-118,part,-15,W-15,actual,740,740,740
ROT-118,part,-14,W-14,actual,721,721,721
ROT-118,part,-13,W-13,actual,726,726,726
ROT-118,part,-12,W-12,actual,733,733,733
ROT-118,part,-11,W-11,actual,749,749,749
ROT-118,part,-10,W-10,actual,721,721,721
ROT-118,part,-9,W-9,actual,749,749,749
ROT-118,part,-8,W-8,actual,749,749,749
ROT-118,part,-7,W-7,actual,740,740,740
ROT-118,part,-6,W-6,actual,758,758,758
ROT-118,part,-5,W-5,actual,768,768,768
ROT-118,part,-4,W-4,actual,770,770,770
ROT-118,part,-3,W-3,actual,817,817,817
ROT-118,part,-2,W-2,actual,817,817,817
ROT-118,part,-1,W-1,actual,814,814,814
ROT-118,part,0,W+0,forecast,826,770,884
ROT-118,part,1,W+1,forecast,838,775,901
ROT-118,part,2,W+2,forecast,847,779,917
ROT-118,part,3,W+3,forecast,859,782,933
ROT-118,part,4,W+4,forecast,868,786,950
ROT-118,part,5,W+5,forecast,877,791,966
ROT-118,part,6,W+6,forecast,887,793,980
ROT-118,part,7,W+7,forecast,896,796,996
ROT-118,part,8,W+8,forecast,903,798,1010
ROT-118,part,9,W+9,forecast,912,798,1024
ROT-118,part,10,W+10,forecast,919,798,1038
ROT-118,part,11,W+11,forecast,924,798,1050
NM-005,part,-26,W-26,actual,1573,1573,1573
NM-005,part,-25,W-25,actual,1615,1615,1615
NM-005,part,-24,W-24,actual,1554,1554,1554
NM-005,part,-23,W-23,actual,1538,1538,1538
NM-005,part,-22,W-22,actual,1556,1556,1556
NM-005,part,-21,W-21,actual,1531,1531,1531
NM-005,part,-20,W-20,actual,1554,1554,1554
NM-005,part,-19,W-19,actual,1568,1568,1568
NM-005,part,-18,W-18,actual,1540,1540,1540
NM-005,part,-17,W-17,actual,1528,1528,1528
NM-005,part,-16,W-16,actual,1594,1594,1594
NM-005,part,-15,W-15,actual,1582,1582,1582
NM-005,part,-14,W-14,actual,1566,1566,1566
NM-005,part,-13,W-13,actual,1559,1559,1559
NM-005,part,-12,W-12,actual,1570,1570,1570
NM-005,part,-11,W-11,actual,1626,1626,1626
NM-005,part,-10,W-10,actual,1563,1563,1563
NM-005,part,-9,W-9,actual,1610,1610,1610
NM-005,part,-8,W-8,actual,1545,1545,1545
NM-005,part,-7,W-7,actual,1612,1612,1612
NM-005,part,-6,W-6,actual,1568,1568,1568
NM-005,part,-5,W-5,actual,1624,1624,1624
NM-005,part,-4,W-4,actual,1652,1652,1652
NM-005,part,-3,W-3,actual,1703,1703,1703
NM-005,part,-2,W-2,actual,1743,1743,1743
NM-005,part,-1,W-1,actual,1804,1804,1804
NM-005,part,0,W+0,forecast,1778,1654,1904
NM-005,part,1,W+1,forecast,1801,1664,1937
NM-005,part,2,W+2,forecast,1822,1673,1972
NM-005,part,3,W+3,forecast,1846,1682,2009
NM-005,part,4,W+4,forecast,1867,1692,2042
NM-005,part,5,W+5,forecast,1888,1699,2074
NM-005,part,6,W+6,forecast,1906,1706,2107
NM-005,part,7,W+7,forecast,1927,1710,2142
NM-005,part,8,W+8,forecast,1944,1713,2172
NM-005,part,9,W+9,forecast,1960,1717,2203
NM-005,part,10,W+10,forecast,1974,1717,2231
NM-005,part,11,W+11,forecast,1988,1717,2259
NM-005-FE,part,-26,W-26,actual,1876,1876,1876
NM-005-FE,part,-25,W-25,actual,1990,1990,1990
NM-005-FE,part,-24,W-24,actual,2016,2016,2016
NM-005-FE,part,-23,W-23,actual,2021,2021,2021
NM-005-FE,part,-22,W-22,actual,1918,1918,1918
NM-005-FE,part,-21,W-21,actual,1976,1976,1976
NM-005-FE,part,-20,W-20,actual,1944,1944,1944
NM-005-FE,part,-19,W-19,actual,1953,1953,1953
NM-005-FE,part,-18,W-18,actual,2063,2063,2063
NM-005-FE,part,-17,W-17,actual,1953,1953,1953
NM-005-FE,part,-16,W-16,actual,2002,2002,2002
NM-005-FE,part,-15,W-15,actual,2060,2060,2060
NM-005-FE,part,-14,W-14,actual,1979,1979,1979
NM-005-FE,part,-13,W-13,actual,2016,2016,2016
NM-005-FE,part,-12,W-12,actual,2039,2039,2039
NM-005-FE,part,-11,W-11,actual,2049,2049,2049
NM-005-FE,part,-10,W-10,actual,1983,1983,1983
NM-005-FE,part,-9,W-9,actual,2079,2079,2079
NM-005-FE,part,-8,W-8,actual,2179,2179,2179
NM-005-FE,part,-7,W-7,actual,2016,2016,2016
NM-005-FE,part,-6,W-6,actual,2191,2191,2191
NM-005-FE,part,-5,W-5,actual,2168,2168,2168
NM-005-FE,part,-4,W-4,actual,2144,2144,2144
NM-005-FE,part,-3,W-3,actual,2343,2343,2343
NM-005-FE,part,-2,W-2,actual,2289,2289,2289
NM-005-FE,part,-1,W-1,actual,2186,2186,2186
NM-005-FE,part,0,W+0,forecast,2296,2135,2457
NM-005-FE,part,1,W+1,forecast,2324,2147,2499
NM-005-FE,part,2,W+2,forecast,2352,2161,2546
NM-005-FE,part,3,W+3,forecast,2380,2172,2590
NM-005-FE,part,4,W+4,forecast,2408,2182,2637
NM-005-FE,part,5,W+5,forecast,2436,2193,2679
NM-005-FE,part,6,W+6,forecast,2462,2200,2723
NM-005-FE,part,7,W+7,forecast,2487,2207,2765
NM-005-FE,part,8,W+8,forecast,2511,2212,2805
NM-005-FE,part,9,W+9,forecast,2529,2217,2844
NM-005-FE,part,10,W+10,forecast,2550,2217,2882
NM-005-FE,part,11,W+11,forecast,2567,2217,2917
NM-005-SM,part,-26,W-26,actual,1573,1573,1573
NM-005-SM,part,-25,W-25,actual,1615,1615,1615
NM-005-SM,part,-24,W-24,actual,1554,1554,1554
NM-005-SM,part,-23,W-23,actual,1538,1538,1538
NM-005-SM,part,-22,W-22,actual,1556,1556,1556
NM-005-SM,part,-21,W-21,actual,1531,1531,1531
NM-005-SM,part,-20,W-20,actual,1554,1554,1554
NM-005-SM,part,-19,W-19,actual,1568,1568,1568
NM-005-SM,part,-18,W-18,actual,1540,1540,1540
NM-005-SM,part,-17,W-17,actual,1528,1528,1528
NM-005-SM,part,-16,W-16,actual,1594,1594,1594
NM-005-SM,part,-15,W-15,actual,1582,1582,1582
NM-005-SM,part,-14,W-14,actual,1566,1566,1566
NM-005-SM,part,-13,W-13,actual,1559,1559,1559
NM-005-SM,part,-12,W-12,actual,1570,1570,1570
NM-005-SM,part,-11,W-11,actual,1626,1626,1626
NM-005-SM,part,-10,W-10,actual,1563,1563,1563
NM-005-SM,part,-9,W-9,actual,1610,1610,1610
NM-005-SM,part,-8,W-8,actual,1545,1545,1545
NM-005-SM,part,-7,W-7,actual,1612,1612,1612
NM-005-SM,part,-6,W-6,actual,1568,1568,1568
NM-005-SM,part,-5,W-5,actual,1624,1624,1624
NM-005-SM,part,-4,W-4,actual,1652,1652,1652
NM-005-SM,part,-3,W-3,actual,1703,1703,1703
NM-005-SM,part,-2,W-2,actual,1743,1743,1743
NM-005-SM,part,-1,W-1,actual,1804,1804,1804
NM-005-SM,part,0,W+0,forecast,1778,1654,1904
NM-005-SM,part,1,W+1,forecast,1801,1664,1937
NM-005-SM,part,2,W+2,forecast,1822,1673,1972
NM-005-SM,part,3,W+3,forecast,1846,1682,2009
NM-005-SM,part,4,W+4,forecast,1867,1692,2042
NM-005-SM,part,5,W+5,forecast,1888,1699,2074
NM-005-SM,part,6,W+6,forecast,1906,1706,2107
NM-005-SM,part,7,W+7,forecast,1927,1710,2142
NM-005-SM,part,8,W+8,forecast,1944,1713,2172
NM-005-SM,part,9,W+9,forecast,1960,1717,2203
NM-005-SM,part,10,W+10,forecast,1974,1717,2231
NM-005-SM,part,11,W+11,forecast,1988,1717,2259
RM-ND,part,-26,W-26,actual,119,119,119
RM-ND,part,-25,W-25,actual,121,121,121
RM-ND,part,-24,W-24,actual,117,117,117
RM-ND,part,-23,W-23,actual,114,114,114
RM-ND,part,-22,W-22,actual,117,117,117
RM-ND,part,-21,W-21,actual,114,114,114
RM-ND,part,-20,W-20,actual,117,117,117
RM-ND,part,-19,W-19,actual,117,117,117
RM-ND,part,-18,W-18,actual,117,117,117
RM-ND,part,-17,W-17,actual,114,114,114
RM-ND,part,-16,W-16,actual,119,119,119
RM-ND,part,-15,W-15,actual,119,119,119
RM-ND,part,-14,W-14,actual,117,117,117
RM-ND,part,-13,W-13,actual,117,117,117
RM-ND,part,-12,W-12,actual,119,119,119
RM-ND,part,-11,W-11,actual,121,121,121
RM-ND,part,-10,W-10,actual,117,117,117
RM-ND,part,-9,W-9,actual,121,121,121
RM-ND,part,-8,W-8,actual,117,117,117
RM-ND,part,-7,W-7,actual,121,121,121
RM-ND,part,-6,W-6,actual,117,117,117
RM-ND,part,-5,W-5,actual,121,121,121
RM-ND,part,-4,W-4,actual,124,124,124
RM-ND,part,-3,W-3,actual,128,128,128
RM-ND,part,-2,W-2,actual,131,131,131
RM-ND,part,-1,W-1,actual,135,135,135
RM-ND,part,0,W+0,forecast,133,124,142
RM-ND,part,1,W+1,forecast,135,126,145
RM-ND,part,2,W+2,forecast,138,126,147
RM-ND,part,3,W+3,forecast,138,126,152
RM-ND,part,4,W+4,forecast,140,126,154
RM-ND,part,5,W+5,forecast,142,128,156
RM-ND,part,6,W+6,forecast,142,128,159
RM-ND,part,7,W+7,forecast,145,128,161
RM-ND,part,8,W+8,forecast,145,128,163
RM-ND,part,9,W+9,forecast,147,128,166
RM-ND,part,10,W+10,forecast,147,128,168
RM-ND,part,11,W+11,forecast,149,128,170
HW-014,part,-26,W-26,actual,1267,1267,1267
HW-014,part,-25,W-25,actual,1300,1300,1300
HW-014,part,-24,W-24,actual,1276,1276,1276
HW-014,part,-23,W-23,actual,1281,1281,1281
HW-014,part,-22,W-22,actual,1253,1253,1253
HW-014,part,-21,W-21,actual,1260,1260,1260
HW-014,part,-20,W-20,actual,1269,1269,1269
HW-014,part,-19,W-19,actual,1246,1246,1246
HW-014,part,-18,W-18,actual,1258,1258,1258
HW-014,part,-17,W-17,actual,1230,1230,1230
HW-014,part,-16,W-16,actual,1258,1258,1258
HW-014,part,-15,W-15,actual,1244,1244,1244
HW-014,part,-14,W-14,actual,1237,1237,1237
HW-014,part,-13,W-13,actual,1241,1241,1241
HW-014,part,-12,W-12,actual,1267,1267,1267
HW-014,part,-11,W-11,actual,1283,1283,1283
HW-014,part,-10,W-10,actual,1227,1227,1227
HW-014,part,-9,W-9,actual,1260,1260,1260
HW-014,part,-8,W-8,actual,1281,1281,1281
HW-014,part,-7,W-7,actual,1234,1234,1234
HW-014,part,-6,W-6,actual,1276,1276,1276
HW-014,part,-5,W-5,actual,1300,1300,1300
HW-014,part,-4,W-4,actual,1311,1311,1311
HW-014,part,-3,W-3,actual,1365,1365,1365
HW-014,part,-2,W-2,actual,1349,1349,1349
HW-014,part,-1,W-1,actual,1360,1360,1360
HW-014,part,0,W+0,forecast,1377,1281,1472
HW-014,part,1,W+1,forecast,1391,1283,1496
HW-014,part,2,W+2,forecast,1405,1290,1519
HW-014,part,3,W+3,forecast,1419,1293,1542
HW-014,part,4,W+4,forecast,1433,1297,1566
HW-014,part,5,W+5,forecast,1444,1300,1589
HW-014,part,6,W+6,forecast,1456,1302,1610
HW-014,part,7,W+7,forecast,1468,1302,1631
HW-014,part,8,W+8,forecast,1477,1302,1652
HW-014,part,9,W+9,forecast,1486,1302,1671
HW-014,part,10,W+10,forecast,1496,1300,1689
HW-014,part,11,W+11,forecast,1503,1297,1706
CN-844,part,-26,W-26,actual,15204,15204,15204
CN-844,part,-25,W-25,actual,15587,15587,15587
CN-844,part,-24,W-24,actual,15328,15328,15328
CN-844,part,-23,W-23,actual,15374,15374,15374
CN-844,part,-22,W-22,actual,15034,15034,15034
CN-844,part,-21,W-21,actual,15127,15127,15127
CN-844,part,-20,W-20,actual,15241,15241,15241
CN-844,part,-19,W-19,actual,14945,14945,14945
CN-844,part,-18,W-18,actual,15097,15097,15097
CN-844,part,-17,W-17,actual,14754,14754,14754
CN-844,part,-16,W-16,actual,15104,15104,15104
CN-844,part,-15,W-15,actual,14931,14931,14931
CN-844,part,-14,W-14,actual,14852,14852,14852
CN-844,part,-13,W-13,actual,14898,14898,14898
CN-844,part,-12,W-12,actual,15213,15213,15213
CN-844,part,-11,W-11,actual,15400,15400,15400
CN-844,part,-10,W-10,actual,14737,14737,14737
CN-844,part,-9,W-9,actual,15129,15129,15129
CN-844,part,-8,W-8,actual,15374,15374,15374
CN-844,part,-7,W-7,actual,14807,14807,14807
CN-844,part,-6,W-6,actual,15318,15318,15318
CN-844,part,-5,W-5,actual,15591,15591,15591
CN-844,part,-4,W-4,actual,15741,15741,15741
CN-844,part,-3,W-3,actual,16394,16394,16394
CN-844,part,-2,W-2,actual,16182,16182,16182
CN-844,part,-1,W-1,actual,16312,16312,16312
CN-844,part,0,W+0,forecast,16515,15363,17677
CN-844,part,1,W+1,forecast,16686,15412,17953
CN-844,part,2,W+2,forecast,16851,15472,18235
CN-844,part,3,W+3,forecast,17015,15519,18517
CN-844,part,4,W+4,forecast,17180,15563,18793
CN-844,part,5,W+5,forecast,17332,15596,19061
CN-844,part,6,W+6,forecast,17470,15622,19322
CN-844,part,7,W+7,forecast,17610,15633,19581
CN-844,part,8,W+8,forecast,17731,15633,19824
CN-844,part,9,W+9,forecast,17841,15626,20048
CN-844,part,10,W+10,forecast,17936,15603,20267
CN-844,part,11,W+11,forecast,18020,15563,20468
CW-220,part,-26,W-26,actual,3166,3166,3166
CW-220,part,-25,W-25,actual,3248,3248,3248
CW-220,part,-24,W-24,actual,3194,3194,3194
CW-220,part,-23,W-23,actual,3204,3204,3204
CW-220,part,-22,W-22,actual,3131,3131,3131
CW-220,part,-21,W-21,actual,3152,3152,3152
CW-220,part,-20,W-20,actual,3176,3176,3176
CW-220,part,-19,W-19,actual,3113,3113,3113
CW-220,part,-18,W-18,actual,3145,3145,3145
CW-220,part,-17,W-17,actual,3073,3073,3073
CW-220,part,-16,W-16,actual,3148,3148,3148
CW-220,part,-15,W-15,actual,3110,3110,3110
CW-220,part,-14,W-14,actual,3094,3094,3094
CW-220,part,-13,W-13,actual,3103,3103,3103
CW-220,part,-12,W-12,actual,3169,3169,3169
CW-220,part,-11,W-11,actual,3208,3208,3208
CW-220,part,-10,W-10,actual,3071,3071,3071
CW-220,part,-9,W-9,actual,3152,3152,3152
CW-220,part,-8,W-8,actual,3204,3204,3204
CW-220,part,-7,W-7,actual,3085,3085,3085
CW-220,part,-6,W-6,actual,3192,3192,3192
CW-220,part,-5,W-5,actual,3248,3248,3248
CW-220,part,-4,W-4,actual,3278,3278,3278
CW-220,part,-3,W-3,actual,3416,3416,3416
CW-220,part,-2,W-2,actual,3372,3372,3372
CW-220,part,-1,W-1,actual,3400,3400,3400
CW-220,part,0,W+0,forecast,3442,3201,3682
CW-220,part,1,W+1,forecast,3477,3211,3740
CW-220,part,2,W+2,forecast,3512,3222,3799
CW-220,part,3,W+3,forecast,3544,3234,3857
CW-220,part,4,W+4,forecast,3579,3243,3915
CW-220,part,5,W+5,forecast,3610,3250,3971
CW-220,part,6,W+6,forecast,3640,3255,4025
CW-220,part,7,W+7,forecast,3668,3257,4079
CW-220,part,8,W+8,forecast,3694,3257,4130
CW-220,part,9,W+9,forecast,3717,3255,4177
CW-220,part,10,W+10,forecast,3736,3250,4223
CW-220,part,11,W+11,forecast,3754,3243,4265
RM-CU,part,-26,W-26,actual,1078,1078,1078
RM-CU,part,-25,W-25,actual,1104,1104,1104
RM-CU,part,-24,W-24,actual,1085,1085,1085
RM-CU,part,-23,W-23,actual,1090,1090,1090
RM-CU,part,-22,W-22,actual,1064,1064,1064
RM-CU,part,-21,W-21,actual,1071,1071,1071
RM-CU,part,-20,W-20,actual,1080,1080,1080
RM-CU,part,-19,W-19,actual,1059,1059,1059
RM-CU,part,-18,W-18,actual,1069,1069,1069
RM-CU,part,-17,W-17,actual,1045,1045,1045
RM-CU,part,-16,W-16,actual,1071,1071,1071
RM-CU,part,-15,W-15,actual,1057,1057,1057
RM-CU,part,-14,W-14,actual,1052,1052,1052
RM-CU,part,-13,W-13,actual,1055,1055,1055
