commodity,week_offset,week_label,kind,price,price_lower,price_upper
ALUMINIUM,-16,W-16,actual,2670.05,2670.05,2670.05
ALUMINIUM,-15,W-15,actual,2706.77,2706.77,2706.77
ALUMINIUM,-14,W-14,actual,2733.93,2733.93,2733.93
ALUMINIUM,-13,W-13,actual,2738.45,2738.45,2738.45
ALUMINIUM,-12,W-12,actual,2747.3,2747.3,2747.3
ALUMINIUM,-11,W-11,actual,2736.91,2736.91,2736.91
ALUMINIUM,-10,W-10,actual,2728.55,2728.55,2728.55
ALUMINIUM,-9,W-9,actual,2730.78,2730.78,2730.78
ALUMINIUM,-8,W-8,actual,2792.7,2792.7,2792.7
ALUMINIUM,-7,W-7,actual,2815.98,2815.98,2815.98
ALUMINIUM,-6,W-6,actual,2813.51,2813.51,2813.51
ALUMINIUM,-5,W-5,actual,2789.06,2789.06,2789.06
ALUMINIUM,-4,W-4,actual,2762.5,2762.5,2762.5
ALUMINIUM,-3,W-3,actual,2828.91,2828.91,2828.91
ALUMINIUM,-2,W-2,actual,2850.41,2850.41,2850.41
ALUMINIUM,-1,W-1,actual,2853.3,2853.3,2853.3
ALUMINIUM,0,W+0,forecast,2838.48,2696.56,2980.4
ALUMINIUM,1,W+1,forecast,2791.26,2640.53,2941.99
ALUMINIUM,2,W+2,forecast,2788.46,2626.73,2950.19
ALUMINIUM,3,W+3,forecast,2825.0,2649.85,3000.15
ALUMINIUM,4,W+4,forecast,2808.37,2623.02,2993.72
ALUMINIUM,5,W+5,forecast,2798.8,2602.88,2994.71
ALUMINIUM,6,W+6,forecast,2789.52,2583.09,2995.94
ALUMINIUM,7,W+7,forecast,2794.1,2576.16,3012.04
ALUMINIUM,8,W+8,forecast,2727.34,2503.7,2950.98
ALUMINIUM,9,W+9,forecast,2717.71,2483.98,2951.43
ALUMINIUM,10,W+10,forecast,2682.88,2441.42,2924.34
ALUMINIUM,11,W+11,forecast,2718.48,2462.94,2974.01
